datafile,source,datafile,completeness,consider,year,station,fname_rainfall,fname_erosivity,file_exists
KMI_6434_2011,KMI,KMI_6434_2011,0.479255774,0,2011,KMI_6434,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\KMI_6434_2011.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\KMI_6434_2011new cumdistr salles.txt,1
KMI_6434_2012,KMI,KMI_6434_2012,0.902604167,0,2012,KMI_6434,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\KMI_6434_2012.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\KMI_6434_2012new cumdistr salles.txt,1
P10_011_2014,VMM,P10_011_2014,0.999687011,1,2014,P10_011,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P10_011_2014.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P10_011_2014new cumdistr salles.txt,1
KMI_6434_2014,KMI,KMI_6434_2014,0.888074617,0,2014,KMI_6434,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\KMI_6434_2014.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\KMI_6434_2014new cumdistr salles.txt,1
KMI_6434_2015,KMI,KMI_6434_2015,0.936004785,0,2015,KMI_6434,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\KMI_6434_2015.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\KMI_6434_2015new cumdistr salles.txt,1
KMI_6434_2016,KMI,KMI_6434_2016,0.619242199,0,2016,KMI_6434,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\KMI_6434_2016.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\KMI_6434_2016new cumdistr salles.txt,1
P10_011_2012,VMM,P10_011_2012,0.999017199,1,2012,P10_011,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P10_011_2012.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P10_011_2012new cumdistr salles.txt,1
KMI_6418_2019,KMI,KMI_6418_2019,0.757190265,0,2019,KMI_6418,,,
P10_011_2005,VMM,P10_011_2005,0.997607656,1,2005,P10_011,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P10_011_2005.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P10_011_2005new cumdistr salles.txt,1
P09_035_2014,VMM,P09_035_2014,0.999668545,1,2014,P09_035,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P09_035_2014.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P09_035_2014new cumdistr salles.txt,1
